Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Streptococcus mutans	1309	362.94	0.091	9
Corynebacterium singulare	161899	356.04	0.09	6939
Corynebacterium jeddahense	1414719	350.67	0.08800000000000001	9152
Corynebacterium striatum	43770	325.04	0.082	10058
Corynebacterium tuscaniense	302449	323.26	0.08099999999999999	8356
Aggregatibacter_u_s	416916	320.09	0.08099999999999999	386
Actinomyces johnsonii	544581	313.43	0.079	1694
Prevotella denticola	28129	311.47	0.078	171
Staphylococcus_u_s	1279	306.61	0.077	330
Staphylococcus cohnii	29382	302.12	0.076	528
Brachybacterium muris	219301	297.36	0.075	6886
Neisseria flavescens	484	298.31	0.075	2604
Capnocytophaga_u_s	1016	298.8	0.075	1912
Rothia mucilaginosa	43675	291.24	0.073	2427
Luteimonas_u_s	83614	288.44	0.073	56
Corynebacterium durum	61592	284.64	0.07200000000000001	7192
Oligella urethralis	90245	286.96	0.07200000000000001	1979
Acinetobacter baumannii	470	280.39	0.07100000000000001	3906
Solobacterium moorei	102148	273.31	0.06899999999999999	2117
Dermabacter hominis	36740	268.88	0.068	7181
Streptococcus thermophilus	1308	264.65	0.067	6
Acinetobacter nosocomialis	106654	265.03	0.067	1428
Anaerococcus prevotii	33034	261.2	0.066	2598
Prevotella veroralis	28137	260.19	0.065	1474
Haemophilus parainfluenzae	729	252.71	0.064	1768
Leptotrichia_u_s	32067	254.11	0.064	74
Staphylococcus pasteuri	45972	252.41	0.063	2610
Enterococcus faecium	1352	250.59	0.063	191
Selenomonas_u_s	970	244.26	0.061	1164
Tannerella sp. oral taxon HOT-286	712710	238.58	0.06	189
Streptococcus anginosus group	671232	234.83	0.059000000000000004	34
Aerococcus viridans	1377	235.72	0.059000000000000004	275
Peptoniphilus lacrimalis	33031	228.47	0.056999999999999995	1602
Pseudomonas sp. 313	1234594	227.2	0.056999999999999995	3531
Aeromonas_u_s	642	227.5	0.056999999999999995	28
Corynebacterium urealyticum	43771	223.18	0.055999999999999994	2663
Phyllobacteriaceae_u_s	69277	223.1	0.055999999999999994	181
Neisseria sicca	490	223.26	0.055999999999999994	51
candidate division TM7 single-cell isolate TM7c	447456	222.93	0.055999999999999994	462
Gemella haemolysans	1379	220.57	0.055	2857
Staphylococcus equorum	246432	214.36	0.054	285
Clostridiales_u_s	186802	212.43	0.053	130
Roseomonas sp. B5	1217720	211.87	0.053	378
Ochrobactrum rhizosphaerae	571254	206.82	0.052	6268
Pseudomonas stutzeri	316	204.49	0.051000000000000004	32
Prevotella oris	28135	203.48	0.051000000000000004	376
Peptoniphilus_u_s	162289	200.53	0.05	101
Pseudomonas alcaligenes	43263	198.65	0.05	4908
Streptococcus cristatus	45634	193.9	0.049	1967
Ruminococcus bromii	40518	196.18	0.049	3937
Peptostreptococcus anaerobius	1261	195.18	0.049	1620
Paracoccus_u_s	265	195.96	0.049	105
Brevundimonas naejangsanensis	588932	194.11	0.049	4953
Pseudopropionibacterium propionicum	1750	190.26	0.048	4750
Lactobacillus sakei	1599	191.51	0.048	894
Lautropia mirabilis	47671	186.55	0.047	4564
Prevotella intermedia	28131	186.8	0.047	1053
candidate division TM7 single-cell isolate TM7b	447455	184	0.046	83
Turicella otitidis	29321	179.41	0.045	3813
Propionibacteriaceae_u_s	31957	174.02	0.044000000000000004	82
Actinomyces odontolyticus	1660	173.58	0.044000000000000004	1731
Comamonas aquatica	225991	173.93	0.044000000000000004	3052
Stenotrophomonas maltophilia	40324	172.58	0.043	3994
Actinobaculum sp. oral taxon 183	712888	166.67	0.042	3709
Massilia_u_s	149698	165.6	0.042	18
Prevotella nigrescens	28133	168.09	0.042	250
Empedobacter falsenii	343874	168.36	0.042	3956
Dermabacter sp. HFH0086	1203568	164.45	0.041	3408
Varibaculum cambriense	184870	160.47	0.04	2664
Roseomonas mucosa	207340	160.61	0.04	304
Prevotella timonensis	386414	160.77	0.04	1723
Corynebacterium jeikeium	38289	155.93	0.039	3047
Dialister invisus	218538	156.01	0.039	2751
Megasphaera_u_s	906	157.02	0.039	1520
Propionimicrobium_u_s	203133	150.39	0.038	1186
Lactobacillus oris	1632	149.63	0.038	1323
Faecalibacterium prausnitzii	853	152.5	0.038	1338
Aureimonas altamirensis	370622	152	0.038	3840
Prevotella_u_s	838	150	0.038	1699
Prevotella pallens	60133	152.01	0.038	3380
Corynebacterium lipophiloflavum	161889	146.21	0.037	4445
Bifidobacterium bifidum	1681	147.49	0.037	1672
Staphylococcus simulans	1286	145.7	0.037	787
Streptococcus_u_s	1301	147.7	0.037	215
Lactobacillus_u_s	1578	147.69	0.037	20
Neisseria elongata	495	148.67	0.037	3081
Neisseria sp. oral taxon 014	641148	145.65	0.037	3264
Campylobacter ureolyticus	827	148.7	0.037	178
Bifidobacterium catenulatum	1686	142.56	0.036000000000000004	1250
Selenomonas noxia	135083	142.1	0.036000000000000004	825
Pseudoxanthomonas_u_s	83618	141.58	0.036000000000000004	9
Stenotrophomonas_u_s	40323	144.42	0.036000000000000004	29
Prevotella bivia	28125	142.53	0.036000000000000004	104
Dermacoccus nishinomiyaensis	1274	140.14	0.034999999999999996	2058
Staphylococcus xylosus	1288	141.1	0.034999999999999996	1154
Shewanella sp. ZOR0012	1339231	137.95	0.034999999999999996	1282
Gordonia terrae	2055	136.95	0.034	88
Microbacterium paraoxydans	199592	132.16	0.033	3130
Dermacoccus sp. Ellin185	188626	131.42	0.033	2057
Parascardovia denticolens	78258	131.49	0.033	1770
Gemella morbillorum	29391	130.65	0.033	1529
Capnocytophaga gingivalis	1017	132	0.033	2679
Lachnoanaerobaculum saburreum	467210	127.24	0.032	969
candidate division TM7 single-cell isolate TM7a	447454	128.01	0.032	1230
Anaerococcus_u_s	165779	122.16	0.031	302
Levyella massiliensis	938289	124.04	0.031	2179
Escherichia coli	562	121.61	0.031	9
Achromobacter piechaudii	72556	121.8	0.031	122
Selenomonas artemidis	671224	120.14	0.03	323
Acinetobacter calcoaceticus/baumannii complex	909768	117.77	0.03	14
Anaerococcus lactolyticus	33032	116.47	0.029	658
Lysobacter_u_s	68	117.12	0.029	56
Streptococcus intermedius	1338	109.6	0.027999999999999997	15
Fusobacterium_u_s	848	110.25	0.027999999999999997	124
Alloprevotella tannerae	76122	111.39	0.027999999999999997	2560
Anaerococcus senegalensis	1288120	107.22	0.027	858
Helcococcus sueciensis	241555	108.01	0.027	1128
Xanthomonas_u_s	338	106.97	0.027	17
Alphaproteobacteria_u_s	28211	105.8	0.027	34
Scardovia wiggsiae	230143	103.1	0.026	1792
Lactobacillus gasseri	1596	102.43	0.026	260
Shewanella_u_s	22	102.67	0.026	12
Pseudochrobactrum sp. AO18b	1201036	101.54	0.026	2884
Porphyromonas_u_s	836	103.11	0.026	18
Acinetobacter haemolyticus	29430	98.41	0.025	25
Klebsiella_u_s	570	97.6	0.025	70
Porphyromonas sp. oral taxon 279	712438	98	0.025	1249
Actinomyces turicensis	131111	94.33	0.024	2294
Tissierellia bacterium S7-1-4	1284708	97.36	0.024	1387
Alkanindiges illinoisensis	197183	96.78	0.024	2537
Akkermansia muciniphila	239935	93.72	0.024	1244
Atopobium rimae	1383	91.39	0.023	1698
Streptococcus sanguinis	1305	91.62	0.023	411
Streptococcus sinensis	176090	92.37	0.023	1249
Atopobium parvulum	1382	85.88	0.022000000000000002	1354
Streptococcus pseudopneumoniae	257758	87.85	0.022000000000000002	18
Anaerococcus hydrogenalis	33029	86.49	0.022000000000000002	169
[Eubacterium] rectale	39491	87.88	0.022000000000000002	198
Acinetobacter indicus	756892	87.38	0.022000000000000002	681
Haemophilus_u_s	724	87.51	0.022000000000000002	10
Neisseriaceae_u_s	481	85.91	0.022000000000000002	18
Mobiluncus_u_s	2050	84.52	0.021	8
Dialister micraerophilus	309120	85.04	0.021	413
Parvimonas_u_s	543311	82.92	0.021	19
Paracoccus pantotrophus	82367	83.15	0.021	923
Neisseria mucosa	488	84.5	0.021	229
Kocuria marina	223184	80.11	0.02	4255
Staphylococcus vitulinus	71237	77.63	0.02	1643
Megasphaera micronuciformis	187326	79.33	0.02	1692
Oribacterium sp. oral taxon 078	652706	77.79	0.02	444
Psychrobacter sp. 1501(2011)	1002339	81.33	0.02	2175
Collinsella aerofaciens	74426	75.62	0.019	1572
Streptococcus salivarius	1304	75.69	0.019	20
Ruminococcus bicirculans	1160721	75.02	0.019	1943
Pseudomonas fragi	296	75.63	0.019	2219
Campylobacter_u_s	194	77.47	0.019	23
Capnocytophaga sputigena	1019	77.18	0.019	1759
