Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Paracoccus sphaerophysae	690417	451.46	0.11399999999999999	8129
Rothia aeria F0184	888019	423.45	0.107	1608
Massilia timonae CCUG 45783	883126	424.99	0.107	10075
Staphylococcus aureus subsp. aureus CO-98	904802	419.99	0.106	88
Streptococcus oralis subsp. tigurinus	1077464	416.86	0.105	1041
Staphylococcus pettenkoferi VCU012	904314	405.16	0.10200000000000001	9074
Streptococcus mitis 29/42	1340486	404.26	0.10200000000000001	1207
Abiotrophia defectiva ATCC 49176	592010	400.71	0.101	7068
Prevotella sp. ICM33_u_t	1161412	397.41	0.1	2808
Bordetella pertussis B1920	743278	392.39	0.099	1315
Staphylococcus warneri L37603	596319	387.52	0.097	4391
Porphyromonas somerae DSM 23386	1122975	385.98	0.097	7518
Staphylococcus saprophyticus	29385	380.3	0.096	484
Cutibacterium granulosum DSM 20700	1160719	379.33	0.095	1154
Pseudomonas psychrotolerans L19	1112217	378.5	0.095	3304
Veillonella_u_t	29465	366.12	0.092	54
Pseudomonas aeruginosa 3574	1447529	365.86	0.092	386
Streptococcus mutans	1309	362.94	0.091	9
Corynebacterium singulare	161899	356.04	0.09	6939
Corynebacterium jeddahense	1414719	350.67	0.08800000000000001	9152
Corynebacterium striatum ATCC 6940	525268	325.04	0.082	10058
Corynebacterium tuscaniense DNF00037	1401064	323.26	0.08099999999999999	8356
Aggregatibacter_u_t	416916	320.09	0.08099999999999999	386
Actinomyces johnsonii F0542	1321818	313.43	0.079	1694
Prevotella denticola	28129	311.47	0.078	171
Staphylococcus_u_t	1279	306.61	0.077	330
Staphylococcus cohnii hu-01	1415164	302.12	0.076	528
Brachybacterium muris UCD-AY4	1249481	297.36	0.075	6886
Neisseria flavescens SK114	596320	298.31	0.075	2604
Capnocytophaga_u_t	1016	298.8	0.075	1912
Rothia mucilaginosa ATCC 25296	553201	291.24	0.073	2427
Luteimonas_u_t	83614	288.44	0.073	56
Corynebacterium durum F0235	1035195	284.64	0.07200000000000001	7192
Oligella urethralis DSM 7531	1122620	286.96	0.07200000000000001	1979
Acinetobacter baumannii 348935	1310605	280.39	0.07100000000000001	3906
Solobacterium moorei	102148	273.31	0.06899999999999999	2117
Dermabacter hominis 1368	1450519	268.88	0.068	7181
Streptococcus thermophilus	1308	264.65	0.067	6
Acinetobacter nosocomialis	106654	265.03	0.067	1428
Anaerococcus prevotii ACS-065-V-Col13	879305	261.2	0.066	2598
Prevotella veroralis	28137	260.19	0.065	1474
Haemophilus parainfluenzae ATCC 33392	888828	252.71	0.064	1768
Leptotrichia_u_t	32067	254.11	0.064	74
Staphylococcus pasteuri SP1	1276282	252.41	0.063	2610
Enterococcus faecium	1352	250.59	0.063	191
Selenomonas_u_t	970	244.26	0.061	1164
Tannerella sp. oral taxon HOT-286	712710	238.58	0.06	189
Streptococcus anginosus group_u_t	671232	234.83	0.059000000000000004	34
Aerococcus viridans	1377	235.72	0.059000000000000004	275
Peptoniphilus lacrimalis DSM 7455	1122949	228.47	0.056999999999999995	1602
Pseudomonas sp. 313_u_t	1234594	227.2	0.056999999999999995	3531
Aeromonas_u_t	642	227.5	0.056999999999999995	28
Corynebacterium urealyticum	43771	223.18	0.055999999999999994	2663
Phyllobacteriaceae_u_t	69277	223.1	0.055999999999999994	181
Neisseria sicca	490	223.26	0.055999999999999994	51
candidate division TM7 single-cell isolate TM7c_u_t	447456	222.93	0.055999999999999994	462
Gemella haemolysans M341	562981	220.57	0.055	2857
Staphylococcus equorum subsp. equorum Mu2	1159488	214.36	0.054	285
Clostridiales_u_t	186802	212.43	0.053	130
Roseomonas sp. B5_u_t	1217720	211.87	0.053	378
Ochrobactrum rhizosphaerae SJY1	1437448	206.82	0.052	6268
Pseudomonas stutzeri	316	204.49	0.051000000000000004	32
Prevotella oris	28135	203.48	0.051000000000000004	376
Peptoniphilus_u_t	162289	200.53	0.05	101
Pseudomonas alcaligenes NBRC 14159	1215092	198.65	0.05	4908
Streptococcus cristatus ATCC 51100	889201	193.9	0.049	1967
Ruminococcus bromii L2-63	657321	196.18	0.049	3937
Peptostreptococcus anaerobius	1261	195.18	0.049	1620
Paracoccus_u_t	265	195.96	0.049	105
Brevundimonas naejangsanensis	588932	194.11	0.049	4953
Pseudopropionibacterium propionicum F0230a	767029	190.26	0.048	4750
Lactobacillus sakei	1599	191.51	0.048	894
Lautropia mirabilis ATCC 51599	887898	186.55	0.047	4564
Prevotella intermedia	28131	186.8	0.047	1053
candidate division TM7 single-cell isolate TM7b_u_t	447455	184	0.046	83
Turicella otitidis ATCC 51513	883169	179.41	0.045	3813
Propionibacteriaceae_u_t	31957	174.02	0.044000000000000004	82
Actinomyces odontolyticus ATCC 17982	411466	173.58	0.044000000000000004	1731
Comamonas aquatica DA1877	1457173	173.93	0.044000000000000004	3052
Stenotrophomonas maltophilia PML168	1118235	172.58	0.043	3994
Actinobaculum sp. oral taxon 183 str. F0552	1227261	166.67	0.042	3709
Massilia_u_t	149698	165.6	0.042	18
Prevotella nigrescens	28133	168.09	0.042	250
Empedobacter falsenii	343874	168.36	0.042	3956
Dermabacter sp. HFH0086_u_t	1203568	164.45	0.041	3408
Varibaculum cambriense DSM 15806	1123488	160.47	0.04	2664
Roseomonas mucosa ATCC BAA-692	1448136	160.61	0.04	304
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640	1122992	160.77	0.04	1723
Corynebacterium jeikeium	38289	155.93	0.039	3047
Dialister invisus DSM 15470	592028	156.01	0.039	2751
Megasphaera_u_t	906	157.02	0.039	1520
Propionimicrobium_u_t	203133	150.39	0.038	1186
Lactobacillus oris	1632	149.63	0.038	1323
Faecalibacterium prausnitzii	853	152.5	0.038	1338
Aureimonas altamirensis	370622	152	0.038	3840
Prevotella_u_t	838	150	0.038	1699
Prevotella pallens ATCC 700821	997353	152.01	0.038	3380
Corynebacterium lipophiloflavum DSM 44291	525263	146.21	0.037	4445
Bifidobacterium bifidum	1681	147.49	0.037	1672
Staphylococcus simulans ACS-120-V-Sch1	883166	145.7	0.037	787
Streptococcus_u_t	1301	147.7	0.037	215
Lactobacillus_u_t	1578	147.69	0.037	20
Neisseria elongata subsp. glycolytica ATCC 29315	546263	148.67	0.037	3081
Neisseria sp. oral taxon 014 str. F0314	641149	145.65	0.037	3264
Campylobacter ureolyticus	827	148.7	0.037	178
Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	566552	142.56	0.036000000000000004	1250
Selenomonas noxia ATCC 43541	585503	142.1	0.036000000000000004	825
Pseudoxanthomonas_u_t	83618	141.58	0.036000000000000004	9
Stenotrophomonas_u_t	40323	144.42	0.036000000000000004	29
Prevotella bivia	28125	142.53	0.036000000000000004	104
Dermacoccus nishinomiyaensis	1274	140.14	0.034999999999999996	2058
Staphylococcus xylosus	1288	141.1	0.034999999999999996	1154
Shewanella sp. ZOR0012_u_t	1339231	137.95	0.034999999999999996	1282
Gordonia terrae	2055	136.95	0.034	88
Microbacterium paraoxydans DH1b	1416752	132.16	0.033	3130
Dermacoccus sp. Ellin185_u_t	188626	131.42	0.033	2057
Parascardovia denticolens	78258	131.49	0.033	1770
Gemella morbillorum M424	562982	130.65	0.033	1529
Capnocytophaga gingivalis ATCC 33624	553178	132	0.033	2679
Lachnoanaerobaculum saburreum	467210	127.24	0.032	969
candidate division TM7 single-cell isolate TM7a_u_t	447454	128.01	0.032	1230
Anaerococcus_u_t	165779	122.16	0.031	302
Levyella massiliensis	938289	124.04	0.031	2179
Escherichia coli	562	121.61	0.031	9
Achromobacter piechaudii	72556	121.8	0.031	122
Selenomonas artemidis	671224	120.14	0.03	323
Acinetobacter calcoaceticus/baumannii complex_u_t	909768	117.77	0.03	14
Anaerococcus lactolyticus ATCC 51172	525254	116.47	0.029	658
Lysobacter_u_t	68	117.12	0.029	56
Streptococcus intermedius	1338	109.6	0.027999999999999997	15
Fusobacterium_u_t	848	110.25	0.027999999999999997	124
Alloprevotella tannerae ATCC 51259	626522	111.39	0.027999999999999997	2560
Anaerococcus senegalensis JC48	1033733	107.22	0.027	858
Helcococcus sueciensis DSM 17243	1121947	108.01	0.027	1128
Xanthomonas_u_t	338	106.97	0.027	17
Alphaproteobacteria_u_t	28211	105.8	0.027	34
Scardovia wiggsiae F0424	857290	103.1	0.026	1792
Lactobacillus gasseri	1596	102.43	0.026	260
Shewanella_u_t	22	102.67	0.026	12
Pseudochrobactrum sp. AO18b_u_t	1201036	101.54	0.026	2884
Porphyromonas_u_t	836	103.11	0.026	18
Acinetobacter haemolyticus	29430	98.41	0.025	25
Klebsiella_u_t	570	97.6	0.025	70
Porphyromonas sp. oral taxon 279 str. F0450	1125723	98	0.025	1249
Actinomyces turicensis ACS-279-V-Col4	883077	94.33	0.024	2294
Tissierellia bacterium S7-1-4_u_t	1284708	97.36	0.024	1387
Alkanindiges illinoisensis DSM 15370	1120977	96.78	0.024	2537
Akkermansia muciniphila	239935	93.72	0.024	1244
Atopobium rimae ATCC 49626	553184	91.39	0.023	1698
Streptococcus sanguinis SK330	888813	91.62	0.023	411
Streptococcus sinensis	176090	92.37	0.023	1249
Atopobium parvulum DSM 20469	521095	85.88	0.022000000000000002	1354
Streptococcus pseudopneumoniae	257758	87.85	0.022000000000000002	18
Anaerococcus hydrogenalis	33029	86.49	0.022000000000000002	169
[Eubacterium] rectale	39491	87.88	0.022000000000000002	198
Acinetobacter indicus	756892	87.38	0.022000000000000002	681
Haemophilus_u_t	724	87.51	0.022000000000000002	10
Neisseriaceae_u_t	481	85.91	0.022000000000000002	18
Mobiluncus_u_t	2050	84.52	0.021	8
Dialister micraerophilus DSM 19965	888062	85.04	0.021	413
Parvimonas_u_t	543311	82.92	0.021	19
Paracoccus pantotrophus	82367	83.15	0.021	923
Neisseria mucosa	488	84.5	0.021	229
Kocuria marina	223184	80.11	0.02	4255
Staphylococcus vitulinus F1028	1167632	77.63	0.02	1643
Megasphaera micronuciformis F0359	706434	79.33	0.02	1692
Oribacterium sp. oral taxon 078	652706	77.79	0.02	444
Psychrobacter sp. 1501(2011)_u_t	1002339	81.33	0.02	2175
Collinsella aerofaciens ATCC 25986	411903	75.62	0.019	1572
Streptococcus salivarius	1304	75.69	0.019	20
Ruminococcus bicirculans	1160721	75.02	0.019	1943
Pseudomonas fragi B25	1136138	75.63	0.019	2219
Campylobacter_u_t	194	77.47	0.019	23
Capnocytophaga sputigena ATCC 33612	553177	77.18	0.019	1759
