Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Microbacterium_u_t	33882	457.49	0.28500000000000003	80
Actinomyces israelii DSM 43320	1120944	422.15	0.263	8623
Methylobacterium populi BJ001	441620	400.74	0.249	7320
Pseudomonas oryzihabitans NBRC 102199	1215113	393.33	0.245	2389
Dietzia alimentaria 72	1077144	377.04	0.23500000000000001	24415
Acinetobacter johnsonii SH046	575586	377.84	0.23500000000000001	1581
Paracoccus sanguinis	1545044	348.02	0.217	963
Gemella_u_t	1378	346.15	0.216	16
Brachybacterium muris UCD-AY4	1249481	345.2	0.215	10680
Ochrobactrum anthropi	529	340.56	0.212	3826
Nesterenkonia massiliensis	1232429	334.46	0.208	8960
Corynebacterium pseudogenitalium ATCC 33035	525264	330.53	0.20600000000000002	2452
Scardovia inopinata F0304	641146	331.08	0.20600000000000002	4743
Microbacterium laevaniformans OR221	1160710	326.37	0.203	13228
Haemophilus parainfluenzae HK262	1095745	322.04	0.2	669
Microbacterium maritypicum MF109	1333857	318.62	0.198	1822
Brevundimonas_u_t	41275	317.44	0.198	218
Corynebacterium tuberculostearicum SK141	553206	303.31	0.189	1719
Morococcus cerebrosus	1056807	289.71	0.18	1271
Kocuria marina	223184	280.16	0.174	10070
Knoellia_u_t	136099	254.98	0.159	27
Citricoccus sp. CH26A_u_t	1045009	253.6	0.158	16128
Acinetobacter lwoffii WJ10621	1046625	251.63	0.157	1028
Agrobacterium sp. 33MFTa1.1_u_t	1279031	243.13	0.151	1956
Veillonella parvula HSIVP1	1316254	232.87	0.145	531
Pseudomonas alcaligenes	43263	231.42	0.14400000000000002	32
Granulicatella adiacens ATCC 49175	638301	229.04	0.14300000000000002	4148
Kocuria rhizophila P7-4	1029824	218.15	0.136	8453
Propionibacteriaceae_u_t	31957	215.79	0.134	21
Staphylococcus massiliensis	555791	214.58	0.134	2595
Brevibacterium senegalense	1033736	210.57	0.131	13496
Capnocytophaga gingivalis ATCC 33624	553178	209.94	0.131	3943
Neisseria subflava NJ9703	546268	209.33	0.13	1959
Bradyrhizobium lupini HPC(L)	1229491	207.19	0.129	2019
Agrobacterium tumefaciens	358	199.58	0.124	2332
Pseudomonas psychrotolerans L19	1112217	192.21	0.12	2545
Streptococcus gordonii str. Challis substr. CH1	467705	184.31	0.11499999999999999	1901
Paracoccus sp. PAMC 22219_u_t	1569209	184.88	0.11499999999999999	4977
Atopobium parvulum DSM 20469	521095	182.53	0.11399999999999999	2328
Corynebacterium matruchotii	43768	181.28	0.11299999999999999	2001
Actinomyces dentalis DSM 19115	1120941	182.18	0.11299999999999999	3857
Staphylococcus caprae M23864:W1	525378	177.1	0.11	3406
Pseudomonas putida	303	174.53	0.109	64
Achromobacter piechaudii HLE	1156919	175.23	0.109	4269
Prevotella histicola JCM 15637 = DNF00424	1236504	174.25	0.108	1568
Capnocytophaga_u_t	1016	172.91	0.108	8
Prevotella_u_t	838	169.87	0.106	327
Mycobacterium abscessus MAB_082312_2273	1335413	155.92	0.097	3935
Kocuria_u_t	57493	153.72	0.096	3299
Methylobacterium extorquens DSM 13060	882800	154.89	0.096	1012
Bifidobacterium sp. MSTE12_u_t	1161409	148.5	0.092	626
Acinetobacter_u_t	469	147.88	0.092	14
Brevibacterium linens	1703	138.25	0.086	106
Actinomyces graevenitzii C83	435830	136.83	0.08499999999999999	1892
Aureimonas_u_t	414371	136.21	0.08499999999999999	9
Serinicoccus_u_t	265976	135.61	0.084	368
Kytococcus sedentarius DSM 20547	478801	134.15	0.084	4720
Streptococcus infantis SK1076	1005705	133.29	0.083	860
Streptococcus_u_t	1301	131.16	0.082	447
Streptococcus australis ATCC 700641	888833	132.22	0.082	1950
Staphylococcus warneri L37603	596319	129.41	0.08099999999999999	1916
Massilia timonae CCUG 45783	883126	130.88	0.08099999999999999	3330
Neisseria sicca	490	124.32	0.077	29
Rothia aeria	172042	121.91	0.076	465
Streptococcus mitis 27/7	1415766	122.05	0.076	334
Pseudomonas stutzeri group_u_t	136846	122.14	0.076	132
Leucobacter sp. UCD-THU_u_t	1292023	120.36	0.075	4116
Staphylococcus hominis	1290	116.95	0.073	350
Mobilicoccus_u_t	984996	115.67	0.07200000000000001	146
Pantoea_u_t	53335	113.23	0.06999999999999999	114
Kingella oralis ATCC 51147	629741	111.39	0.06899999999999999	2641
Micrococcaceae_u_t	1268	107.35	0.067	103
Xanthomonadaceae_u_t	32033	106.52	0.066	685
Ochrobactrum sp. CDB2_u_t	360313	106.17	0.066	2798
Neisseria_u_t	482	103.53	0.064	112
Brachybacterium squillarum M-6-3	1074488	99.38	0.062	5590
Enterobacter cloacae complex_u_t	354276	98.24	0.061	736
Ochrobactrum rhizosphaerae SJY1	1437448	93.69	0.058	4202
Roseomonas_u_t	125216	91.99	0.056999999999999995	1416
Kocuria sp. ZOR0020_u_t	1339234	87.28	0.054	6260
Streptococcus vestibularis	1343	86.07	0.054	216
Atopobium rimae ATCC 49626	553184	81.34	0.051000000000000004	1439
Solobacterium moorei	102148	79.59	0.05	642
Sphingobium yanoikuyae	13690	80.41	0.05	19
Streptococcus thermophilus	1308	77.98	0.049	6
Staphylococcus_u_t	1279	78.1	0.049	99
Actinomyces naeslundii str. Howell 279	1115803	76.8	0.048	3179
Pseudonocardia_u_t	1847	76.75	0.048	98
Enterobacter_u_t	547	77.02	0.048	11
