Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Microbacterium_u_s	33882	457.49	0.28500000000000003	80
Actinomyces israelii	1659	422.15	0.263	8623
Methylobacterium populi	223967	400.74	0.249	7320
Pseudomonas oryzihabitans	47885	393.33	0.245	2389
Dietzia alimentaria	665550	377.04	0.23500000000000001	24415
Acinetobacter johnsonii	40214	377.84	0.23500000000000001	1581
Paracoccus sanguinis	1545044	348.02	0.217	963
Gemella_u_s	1378	346.15	0.216	16
Brachybacterium muris	219301	345.2	0.215	10680
Ochrobactrum anthropi	529	340.56	0.212	3826
Nesterenkonia massiliensis	1232429	334.46	0.208	8960
Corynebacterium pseudogenitalium	38303	330.53	0.20600000000000002	2452
Scardovia inopinata	78259	331.08	0.20600000000000002	4743
Microbacterium laevaniformans	36807	326.37	0.203	13228
Haemophilus parainfluenzae	729	322.04	0.2	669
Microbacterium maritypicum	300020	318.62	0.198	1822
Brevundimonas_u_s	41275	317.44	0.198	218
Corynebacterium tuberculostearicum	38304	303.31	0.189	1719
Morococcus cerebrosus	1056807	289.71	0.18	1271
Kocuria marina	223184	280.16	0.174	10070
Knoellia_u_s	136099	254.98	0.159	27
Citricoccus sp. CH26A	1045009	253.6	0.158	16128
Acinetobacter lwoffii	28090	251.63	0.157	1028
Agrobacterium sp. 33MFTa1.1	1279031	243.13	0.151	1956
Veillonella parvula	29466	232.87	0.145	531
Pseudomonas alcaligenes	43263	231.42	0.14400000000000002	32
Granulicatella adiacens	46124	229.04	0.14300000000000002	4148
Kocuria rhizophila	72000	218.15	0.136	8453
Propionibacteriaceae_u_s	31957	215.79	0.134	21
Staphylococcus massiliensis	555791	214.58	0.134	2595
Brevibacterium senegalense	1033736	210.57	0.131	13496
Capnocytophaga gingivalis	1017	209.94	0.131	3943
Neisseria subflava	28449	209.33	0.13	1959
Bradyrhizobium lupini	136996	207.19	0.129	2019
Agrobacterium tumefaciens	358	199.58	0.124	2332
Pseudomonas psychrotolerans	237610	192.21	0.12	2545
Streptococcus gordonii	1302	184.31	0.11499999999999999	1901
Paracoccus sp. PAMC 22219	1569209	184.88	0.11499999999999999	4977
Atopobium parvulum	1382	182.53	0.11399999999999999	2328
Corynebacterium matruchotii	43768	181.28	0.11299999999999999	2001
Actinomyces dentalis	272548	182.18	0.11299999999999999	3857
Staphylococcus caprae	29380	177.1	0.11	3406
Pseudomonas putida	303	174.53	0.109	64
Achromobacter piechaudii	72556	175.23	0.109	4269
Prevotella histicola	470565	174.25	0.108	1568
Capnocytophaga_u_s	1016	172.91	0.108	8
Prevotella_u_s	838	169.87	0.106	327
Mycobacterium abscessus	36809	155.92	0.097	3935
Kocuria_u_s	57493	153.72	0.096	3299
Methylobacterium extorquens	408	154.89	0.096	1012
Bifidobacterium sp. MSTE12	1161409	148.5	0.092	626
Acinetobacter_u_s	469	147.88	0.092	14
Brevibacterium linens	1703	138.25	0.086	106
Actinomyces graevenitzii	55565	136.83	0.08499999999999999	1892
Aureimonas_u_s	414371	136.21	0.08499999999999999	9
Serinicoccus_u_s	265976	135.61	0.084	368
Kytococcus sedentarius	1276	134.15	0.084	4720
Streptococcus infantis	68892	133.29	0.083	860
Streptococcus_u_s	1301	131.16	0.082	447
Streptococcus australis	113107	132.22	0.082	1950
Staphylococcus warneri	1292	129.41	0.08099999999999999	1916
Massilia timonae	47229	130.88	0.08099999999999999	3330
Neisseria sicca	490	124.32	0.077	29
Rothia aeria	172042	121.91	0.076	465
Streptococcus mitis	28037	122.05	0.076	334
Pseudomonas stutzeri group	136846	122.14	0.076	132
Leucobacter sp. UCD-THU	1292023	120.36	0.075	4116
Staphylococcus hominis	1290	116.95	0.073	350
Mobilicoccus_u_s	984996	115.67	0.07200000000000001	146
Pantoea_u_s	53335	113.23	0.06999999999999999	114
Kingella oralis	505	111.39	0.06899999999999999	2641
Micrococcaceae_u_s	1268	107.35	0.067	103
Xanthomonadaceae_u_s	32033	106.52	0.066	685
Ochrobactrum sp. CDB2	360313	106.17	0.066	2798
Neisseria_u_s	482	103.53	0.064	112
Brachybacterium squillarum	661979	99.38	0.062	5590
Enterobacter cloacae complex	354276	98.24	0.061	736
Ochrobactrum rhizosphaerae	571254	93.69	0.058	4202
Roseomonas_u_s	125216	91.99	0.056999999999999995	1416
Kocuria sp. ZOR0020	1339234	87.28	0.054	6260
Streptococcus vestibularis	1343	86.07	0.054	216
Atopobium rimae	1383	81.34	0.051000000000000004	1439
Solobacterium moorei	102148	79.59	0.05	642
Sphingobium yanoikuyae	13690	80.41	0.05	19
Streptococcus thermophilus	1308	77.98	0.049	6
Staphylococcus_u_s	1279	78.1	0.049	99
Actinomyces naeslundii	1655	76.8	0.048	3179
Pseudonocardia_u_s	1847	76.75	0.048	98
Enterobacter_u_s	547	77.02	0.048	11
